L I	L III	L II(Calc.)
-0.0460815	-0.0332642	-0.0793457
-0.0439453	-0.0335693	-0.0775146
-0.043335	-0.0335693	-0.0769043
-0.0442505	-0.0323486	-0.0765991
-0.0469971	-0.0305176	-0.0775146
-0.0494385	-0.0283813	-0.0778198
-0.050354	-0.0271606	-0.0775146
-0.050354	-0.0268555	-0.0772095
-0.0506592	-0.0262451	-0.0769043
-0.0512695	-0.0247192	-0.0759888
-0.0518799	-0.022583	-0.0744629
-0.0521851	-0.020752	-0.072937
-0.0509644	-0.0195313	-0.0704956
-0.0485229	-0.017395	-0.065918
-0.0463867	-0.0137329	-0.0601196
-0.0454712	-0.00854492	-0.0540161
-0.0454712	-0.00213623	-0.0476074
-0.0448608	0.00396729	-0.0408936
-0.0421143	0.00915527	-0.032959
-0.0393677	0.0131226	-0.0262451
-0.0375366	0.0164795	-0.0210571
-0.0360107	0.0192261	-0.0167847
-0.03479	0.0219727	-0.0128174
-0.0335693	0.0244141	-0.00915527
-0.0317383	0.0265503	-0.00518799
-0.0286865	0.027771	-0.000915527
-0.0262451	0.0286865	0.00244141
-0.0247192	0.0305176	0.00579834
-0.0244141	0.0338745	0.00946045
-0.0234985	0.0375366	0.0140381
-0.0189209	0.0405884	0.0216675
-0.0106812	0.043335	0.0326538
-0.00213623	0.0460815	0.0439453
0.00457764	0.0488281	0.0534058
0.0109863	0.050354	0.0613403
0.0186157	0.0500488	0.0686646
0.0268555	0.0485229	0.0753784
0.0344849	0.0460815	0.0805664
0.0396729	0.0427246	0.0823975
0.0421143	0.0387573	0.0808716
0.0421143	0.0338745	0.0759888
0.0405884	0.0283813	0.0689697
0.0387573	0.0219727	0.06073
0.0360107	0.0149536	0.0509644
0.0317383	0.00762939	0.0393677
0.0256348	0.000610352	0.0262451
0.0192261	-0.00610352	0.0131226
0.0131226	-0.0134277	-0.000305176
0.00854492	-0.0201416	-0.0115967
0.00274658	-0.0253296	-0.022583
-0.00396729	-0.0286865	-0.0326538
-0.0119019	-0.0305176	-0.0424194
-0.0204468	-0.0317383	-0.0521851
-0.0292969	-0.0323486	-0.0616455
-0.0384521	-0.0326538	-0.071106
-0.0469971	-0.0314331	-0.0784302
-0.0546265	-0.0302124	-0.0848389
-0.0613403	-0.0299072	-0.0912476
-0.0665283	-0.0308228	-0.0973511
-0.071106	-0.0335693	-0.104675
-0.0741577	-0.0372314	-0.111389
-0.0750732	-0.0415039	-0.116577
-0.0756836	-0.0448608	-0.120544
-0.0769043	-0.0479126	-0.124817
-0.078125	-0.050354	-0.128479
-0.0775146	-0.0527954	-0.13031
-0.0762939	-0.0543213	-0.130615
-0.0769043	-0.055542	-0.132446
-0.0796509	-0.0558472	-0.135498
-0.0820923	-0.0561523	-0.138245
-0.0827026	-0.0564575	-0.13916
-0.0830078	-0.0570679	-0.140076
-0.0842285	-0.0576782	-0.141907
-0.0857544	-0.0582886	-0.144043
-0.0860596	-0.0579834	-0.144043
-0.0857544	-0.057373	-0.143127
-0.085144	-0.0570679	-0.142212
-0.0857544	-0.0558472	-0.141602
-0.0872803	-0.0543213	-0.141602
-0.088501	-0.0531006	-0.141602
-0.0894165	-0.0540161	-0.143433
-0.0900269	-0.0588989	-0.148926
-0.0915527	-0.0671387	-0.158691
-0.0939941	-0.0787354	-0.172729
-0.0967407	-0.0915527	-0.188293
-0.0982666	-0.104065	-0.202332
-0.0973511	-0.11322	-0.210571
-0.0939941	-0.116882	-0.210876
-0.0860596	-0.113525	-0.199585
-0.0698853	-0.102234	-0.172119
-0.0430298	-0.0830078	-0.126038
-0.00488281	-0.0546265	-0.0595093
0.0436401	-0.0177002	0.0259399
0.10376	0.0262451	0.130005
0.174866	0.0753784	0.250244
0.256348	0.128784	0.385132
0.345154	0.183716	0.52887
0.435181	0.234375	0.669556
0.519714	0.273743	0.793457
0.593872	0.299683	0.893555
0.65094	0.312195	0.963135
0.686035	0.310364	0.996399
0.695801	0.292053	0.987854
0.678101	0.257874	0.935974
0.632935	0.209656	0.84259
0.559998	0.153198	0.713196
0.461426	0.0927734	0.554199
0.344238	0.0314331	0.375671
0.218506	-0.0274658	0.19104
0.0952148	-0.0802612	0.0149536
-0.017395	-0.12207	-0.139465
-0.114136	-0.151672	-0.265808
-0.19165	-0.169373	-0.361023
-0.248413	-0.176086	-0.4245
-0.281372	-0.17395	-0.455322
-0.290222	-0.16571	-0.455933
-0.27771	-0.154419	-0.432129
-0.250244	-0.140991	-0.391235
-0.215454	-0.126038	-0.341492
-0.179138	-0.111389	-0.290527
-0.145569	-0.0976563	-0.243225
-0.118103	-0.0857544	-0.203857
-0.098877	-0.0747681	-0.173645
-0.0875854	-0.0646973	-0.152283
-0.0830078	-0.0567627	-0.139771
-0.083313	-0.0509644	-0.134277
-0.0875854	-0.0479126	-0.135498
-0.0933838	-0.0476074	-0.140991
-0.100098	-0.0482178	-0.148315
-0.106812	-0.0494385	-0.15625
-0.111389	-0.0509644	-0.162354
-0.112915	-0.0527954	-0.16571
-0.112305	-0.0543213	-0.166626
-0.109863	-0.0552368	-0.1651
-0.107422	-0.0549316	-0.162354
-0.10376	-0.0537109	-0.157471
-0.100708	-0.0521851	-0.152893
-0.098877	-0.0512695	-0.150146
-0.0982666	-0.0515747	-0.149841
-0.0958252	-0.0524902	-0.148315
-0.0924683	-0.0534058	-0.145874
-0.090332	-0.0549316	-0.145264
-0.0894165	-0.0567627	-0.146179
-0.0888062	-0.0595093	-0.148315
-0.0875854	-0.0628662	-0.150452
-0.0857544	-0.0662231	-0.151978
-0.0839233	-0.0686646	-0.152588
-0.0827026	-0.0701904	-0.152893
-0.0814819	-0.071106	-0.152588
-0.0796509	-0.071106	-0.150757
-0.0778198	-0.0698853	-0.147705
-0.0769043	-0.0671387	-0.144043
-0.0772095	-0.0643921	-0.141602
-0.0772095	-0.0616455	-0.138855
-0.0759888	-0.0595093	-0.135498
-0.0738525	-0.0582886	-0.132141
-0.0717163	-0.0579834	-0.1297
-0.0692749	-0.0579834	-0.127258
-0.0665283	-0.0588989	-0.125427
-0.0631714	-0.0601196	-0.123291
-0.0585938	-0.0619507	-0.120544
-0.0543213	-0.0643921	-0.118713
-0.050354	-0.0674438	-0.117798
-0.0463867	-0.0701904	-0.116577
-0.0418091	-0.0723267	-0.114136
-0.0375366	-0.0732422	-0.110779
-0.0341797	-0.072937	-0.107117
-0.0317383	-0.0720215	-0.10376
-0.0296021	-0.0708008	-0.100403
-0.0274658	-0.0692749	-0.0967407
-0.0259399	-0.067749	-0.093689
-0.0250244	-0.0662231	-0.0912476
-0.0244141	-0.0643921	-0.0888062
-0.0241089	-0.0628662	-0.0869751
-0.0234985	-0.0616455	-0.085144
-0.022583	-0.0610352	-0.0836182
-0.0201416	-0.0616455	-0.0817871
-0.0161743	-0.0631714	-0.0793457
-0.012207	-0.0640869	-0.0762939
-0.0088501	-0.0640869	-0.072937
-0.00488281	-0.0631714	-0.0680542
0.000305176	-0.062561	-0.0622559
0.00671387	-0.0622559	-0.055542
0.0131226	-0.0616455	-0.0485229
0.0186157	-0.06073	-0.0421143
0.0231934	-0.0598145	-0.0366211
0.0268555	-0.0585938	-0.0317383
0.0314331	-0.0582886	-0.0268555
0.0357056	-0.0582886	-0.022583
0.0387573	-0.0588989	-0.0201416
0.0411987	-0.0601196	-0.0189209
0.0442505	-0.0622559	-0.0180054
0.0485229	-0.0637817	-0.0152588
0.0552368	-0.0646973	-0.00946045
0.0634766	-0.0650024	-0.00152588
0.0714111	-0.0653076	0.00610352
0.0778198	-0.0653076	0.0125122
0.0842285	-0.0656128	0.0186157
0.0900269	-0.0653076	0.0247192
0.09552	-0.0640869	0.0314331
0.100708	-0.062561	0.038147
0.105896	-0.0616455	0.0442505
0.110474	-0.0610352	0.0494385
0.113525	-0.0601196	0.0534058
0.115967	-0.0585938	0.057373
0.117493	-0.0570679	0.0604248
0.117798	-0.0558472	0.0619507
0.117798	-0.0546265	0.0631714
0.119019	-0.0524902	0.0665283
0.120544	-0.050354	0.0701904
0.121765	-0.0479126	0.0738525
0.122375	-0.0457764	0.0765991
0.122375	-0.0436401	0.0787354
0.121765	-0.0415039	0.0802612
0.121155	-0.0387573	0.0823975
0.121765	-0.0363159	0.0854492
0.122986	-0.0332642	0.0897217
0.122986	-0.0299072	0.0930786
0.121765	-0.0262451	0.09552
0.119324	-0.0222778	0.0970459
0.116882	-0.0186157	0.0982666
0.114746	-0.0146484	0.100098
0.111389	-0.0109863	0.100403
0.106201	-0.00701904	0.0991821
0.0991821	-0.00274658	0.0964355
